country,modelStart,infectedM,infectiousM,mv0,mv1,mv2,mv3,mv4,mv5,mv6,mv7,mv8,mv9
Austria,48.10939417689168,1911.2497274880516,939.2670417795647,1.0,0.22429615302796171,0.29011688877270936,1.416868331369289,0.829199980908641,0.7304004106348061,0.6562719625126194,0.5608312197913473,1.248792717054096,0.3037224535727244
Belgium,46.378764261213526,252.42929232593335,656.2869487191045,1.0,0.46060196702625933,0.6077842315379336,0.10354246494747477,1.4809123758131792,0.30838998271910123,0.6854600964323285,1.1657614791564568,0.16809560468886764,0.8485150595306056
Bulgaria,52.651261731603185,3191.2996293077404,2894.8335300894323,1.0,0.5281608438689134,0.13337591816280048,1.4581622176272606,1.2217934021872774,0.5399642346598009,0.3236501035812659,0.74467470421719,1.1573675289579741,0.5050090277130712
Canada,50.25627124722955,1425.3058503110756,2379.0440571607287,1.0,1.0045819946075785,0.7339683680981796,0.35348028928984854,1.0885705883976526,0.46791691398790203,0.22149123767813114,1.1457707182909425,0.7418133445031391,0.25276893418075264
China,-6.663650316623416,4484.249120362712,2668.1602788632927,1.0,0.3367466350617632,0.3377466339976827,0.5061022626009799,0.7914055785049536,0.1111317614913696,0.4479520850465633,0.8645881937034161,1.4842577662583967,0.3371713116613415
Denmark,53.88167217280402,3597.5439900262268,1314.1551661227104,1.0,0.359817866522689,0.808398020266524,0.7535745455885144,1.1684100965438617,1.2034373003550027,0.7146165436210605,0.14367326299517766,0.7449265316192359,0.7896748039207275
France,36.60751575047548,1678.9730894885927,2059.8354549937685,1.0,1.3909499420063478,0.4515561861724249,0.8478420587677742,0.9571633616118247,1.3903808941569469,1.4295167602639343,1.1858371132389918,0.3764741095835197,0.13569053264052017
Germany,48.316621536858435,901.960398557532,3516.9449536443344,1.0,0.6432489105968635,1.3001297665058973,1.311626058109366,0.9637988723279267,1.260660500266675,0.44626999154514213,0.8024908091706897,0.7835107896936713,1.407122993366458
Greece,53.20973554933169,2952.6550787392384,2457.1837527076796,1.0,0.15566980245182183,1.1698613510801337,0.38273338803130336,0.5242174428229879,0.15921815564086628,0.6737640449984297,0.6412574886722701,0.9329651884326892,1.359543707557222
India,54.942691394323994,3070.3432770952727,3512.624414490798,1.0,1.2885719585495234,1.3111708926290786,1.218451050378174,1.2778680228126291,0.8732286307646783,1.1314474449587433,1.4125161550029994,0.7435310526123691,0.27528035442288257
Iran,24.78403971901712,3758.220597141095,476.142994362325,1.0,0.8885754374351079,1.2014533257346518,0.7959274045214595,1.2234570814998706,1.225221714510421,1.0572431316830218,1.1304282244184134,0.8091138401533228,0.8757803940141916
Italy,24.372999504602195,3391.335544266145,2453.509927908176,1.0,0.7053373276219045,0.793299561003697,0.9826099999880922,0.8954868260791277,0.5641100851181172,0.5712749171449419,1.2369034688777099,0.19460624952691924,0.1155306011414012
Japan,25.568028236500695,586.0855830205561,85.21758779577081,1.0,1.0962496256149172,0.36222299031564426,0.45445181134929935,0.3358911480395951,0.9906820403731124,0.18423094055821035,1.037155571956705,0.9426012637903286,0.9274111073886506
Netherlands,48.73383722440562,336.9251986152026,4989.2301406456345,1.0,1.22161086251584,0.5932270133129811,0.17128296517838112,0.5774540227480642,0.7445186598520666,1.2055166727627933,0.17628386757196524,1.127786342959837,0.2900747494568883
Norway,45.85394672354155,2271.9140500357353,1586.7378021917586,1.0,1.118602816256547,0.16136791356117525,0.7617429041575897,1.29461783868864,0.45245282299034745,0.6127563662607742,0.9308783224590127,0.9067844664583603,0.8126629275890925
Poland,50.37210798573904,1326.8439000972417,4992.367979041945,1.0,1.3337474892566175,0.7369905075829857,0.6358910393912147,1.4788937974376408,0.7493064640545569,1.4373086605095309,0.8328467886585976,0.50660678486076,1.0578029769709625
Spain,41.20681565979443,4605.741161092511,4541.107872670533,1.0,0.4030629068093418,1.2706217359766137,0.9693361066744332,0.9460735250945931,0.7121653802258603,1.1720144545912514,1.1625955145742572,0.39628582562065073,1.2183390543080017
Sweden,50.13561429245261,610.8973390285504,2056.323183735146,1.0,0.38646452490447747,1.412669598472094,0.775229586058218,0.8871879456933679,1.4031907663862409,0.5653031350250525,0.5577019375221239,0.9233486410229933,1.037604799397122
United_Kingdom,44.29571680847316,4070.6430338437435,288.1960571762396,1.0,1.323290231042472,0.7830253640296205,1.3664409630535383,0.4347109629814972,0.7458124650733504,0.9022988935734736,0.8057037439824448,0.9687304522045882,0.6136194641106638
United_States_of_America,30.37909517201156,3843.489826685992,394.48335855254595,1.0,0.20129448243221115,0.23606220128518407,0.27073602261567653,1.1963184753949252,1.0955214879783508,0.9135445434266541,1.3691044030052588,0.28330948889923224,0.5854989105919767
