country,modelStart,infectedM,infectiousM,mv0,mv1,mv2,mv3,mv4,mv5,mv6,mv7,mv8,mv9
Austria,50.862357573258265,2480.2762398093346,1428.9405422045402,1.0,1.0015403278060322,0.9123519348579279,1.4096307364473146,0.2080266799619413,0.6125548349174688,1.1330566660041776,0.4883598175111938,1.0878876277988114,0.529174788778817
Belgium,45.0593147338536,2708.037626372142,2823.1194999357213,1.0,0.7761799948729833,0.3053339198255993,0.5130114508672979,0.5931969596388832,0.4377938425136042,0.5954933739988315,1.1684166462546988,0.178830462501913,1.4333580029508872
Bulgaria,54.381872055577595,4249.501278379098,3347.3754711774714,1.0,0.40093540551185614,0.6568124790530527,0.6682533288690646,1.3817150954948385,1.1647182632791866,0.7885742685356533,1.0117721811844356,0.19574646173402468,1.3061859772021935
Canada,43.445654249711914,3390.469149327152,1673.4210593236842,1.0,0.43202149205348817,0.827830172828147,1.4844212164951707,1.2299584124763905,0.5877363077480492,0.5064583943356291,0.7527531861326241,0.5526800663768996,1.4575465521805686
China,-4.14174140588731,3319.660351122028,1967.5492250628345,1.0,0.5453607419060126,0.5203263968384073,0.5668622121757512,0.31568571433465753,0.6776808561559546,0.5394375942831253,0.22693084940971087,1.3027600671622723,0.5822709202193879
Denmark,51.421357352069684,2099.4603487597965,2290.395473182869,1.0,1.1366184753658726,1.2639579358340616,1.3201543385675671,0.4679257249477155,0.5518866346546012,0.7552363637132267,1.440854774238634,0.31106450176983635,0.24585549049771596
France,33.38285744699532,2982.1179673023444,3249.7943226089847,1.0,0.5334696389744215,0.8173276000739685,0.7838317042481814,1.101743721147465,0.4428720663554089,0.3237372191280163,0.27248164234765293,0.9320920193852827,0.38869125715237796
Germany,37.833387053532,3245.0191740458486,4729.8676761247,1.0,0.19858639828868824,0.6298153673506521,0.7492335630772954,0.147008395298883,0.6087387844551463,1.0837821054931838,1.1355335442159693,1.2216668405630482,0.32706592943820145
Greece,50.91945000202365,2885.8752733523434,1903.6450596428963,1.0,0.5802092013167386,1.4520674087105458,0.5268842072266188,0.6606373968229484,1.1978913910883067,1.2564040469961593,1.2759849535611982,0.2914813439690973,1.075284255406688
India,52.20603909109883,4232.9288291483335,1953.4818850793652,1.0,1.0022552706594867,0.5466106189861513,1.493193875085632,0.8064580429145466,0.2819294967794994,1.141151313757507,0.7505152909072031,1.291755243187348,1.3321059307206489
Iran,28.784992980388985,4222.012555077659,1436.2970752721449,1.0,0.5945407483803913,1.1073894034884395,0.45973799806134175,0.9461596109061442,1.1432698244507584,0.9221955983916451,1.0620313970590851,0.9858101952538944,0.8715739580570608
Italy,21.29457399928489,4998.362239467734,3707.0066918861316,1.0,1.1169271327011199,0.7236860291247786,0.667736931966721,1.124386964721601,1.179139012139048,0.7926711909751729,0.7700483333913606,1.1413916682228982,0.28468948697880925
Japan,30.569716313587342,588.9912375365693,695.4732938280285,1.0,0.7816261437729066,1.0475296672433365,0.34874008370393117,0.7594131628231606,1.2878140083779595,0.934053970365489,1.1049123442530717,0.6769072602108437,0.13301455466741302
Netherlands,36.20259001198802,2112.3232704303646,2576.284892453807,1.0,0.822341722805584,1.0434223366610418,1.2499989353932766,0.4585759604214685,0.9520568372830713,0.7996004453221361,0.9553886950843715,0.7127657561874389,1.2508796161254736
Norway,49.46222499441171,2454.195240023905,1901.9845673457648,1.0,1.3482635152763958,0.9727957691145492,0.5640631035529544,1.0574571962678099,0.4280379626150097,0.7592560078883153,0.6285183587652592,0.4227173098106268,0.5602989533343858
Poland,57.98625499472126,4212.4409757495905,1787.398730015057,1.0,0.9581652015332949,0.9271690374817849,0.793548257007672,1.4627593319419003,0.31942379491694184,0.10856632300793467,0.31009812077467547,0.6478800127005886,0.9289142954585221
Spain,40.360420331077414,498.3282112463884,57.1243351833034,1.0,0.7193511113490666,0.46945168750453037,1.283988288783645,1.1860371917164076,1.4363124822749194,0.7189826579753928,0.7618916699944245,1.3090790514975796,1.1109448018152057
Sweden,42.46857369845161,2944.14808754303,829.3422592511506,1.0,0.8948936269771502,0.47422753493370995,0.38307361806876933,1.001999014083821,0.1259772011710293,0.8870505236406918,0.7180047537316758,0.38813119351801356,1.275707820598706
United_Kingdom,36.037340850991725,1787.3025724298664,1877.348435120643,1.0,0.8246357744446509,0.3868711127263297,1.043598645232698,1.3705242360152952,0.7441339676515252,0.34264274606936374,1.1083630856183293,0.8719824799914782,1.016835301167651
United_States_of_America,27.287569937891806,2242.552508319419,2895.294606832975,1.0,1.1435318235533585,0.5492406418241959,1.0560357746498457,0.9018884552655815,1.437267394444828,0.3310464028531076,0.8818234580784806,1.1519266364633023,0.9678062094764273
