country,startDate,r₀,tₗ,tᵢ,tₕ,tᵤ,γₑ,γᵢ,γⱼ,γₖ,δₖ,δₗ,δᵤ,shiftStart,infectedM,infectiousM,mv0,mv1,mv2,mv3,mv4,mv5,mv6,mv7,mv8,mv9
Austria,2020-03-13,2.9040018589308385,3.067918938097548,4.480967082862215,33.41577359709064,153.33250372805108,0.19798856450573302,1.0,0.4785074974418398,1.2063393862234202,0.7603175074310758,1.9739585291847592,1.0,5.798997449676898,5.379891831803138,6.063924589892691,1.0,1.215057247166661,0.21171865363611286,1.146717558381091,1.210988058982887,0.25585519960205594,0.5453342775650813,0.32526693116560457,0.296171017899657,0.35901564520667895
Belgium,2020-03-12,2.9040018589308385,3.067918938097548,4.480967082862215,33.41577359709064,153.33250372805108,0.19798856450573302,1.0,0.4785074974418398,1.2063393862234202,0.7603175074310758,1.9739585291847592,1.0,5.9385514946037645,5.261333736507957,7.391124482402362,1.0,1.2175654075429414,0.21041393767812333,0.9764910054924395,1.1028870689140018,0.36904762837655025,0.6085419565189819,0.44105836725908265,0.4008635728733973,0.3696840944903466
Bulgaria,2020-03-12,2.9040018589308385,3.067918938097548,4.480967082862215,33.41577359709064,153.33250372805108,0.19798856450573302,1.0,0.4785074974418398,1.2063393862234202,0.7603175074310758,1.9739585291847592,1.0,5.853471067230155,5.000564857201589,6.112349898652101,1.0,1.2151845381366428,0.2180373677341888,1.1441515796156645,1.2727850753295364,0.33702736201973016,0.5174600214540711,0.44096909112339855,0.2957338195928063,0.3414328907348611
Canada,2020-03-10,2.9040018589308385,3.067918938097548,4.480967082862215,33.41577359709064,153.33250372805108,0.19798856450573302,1.0,0.4785074974418398,1.2063393862234202,0.7603175074310758,1.9739585291847592,1.0,5.609697494381216,4.6479214088786,7.445951588790732,1.0,1.2150563481427215,0.2098454220938066,1.0197691618188542,1.4612877357348864,0.36374125181622685,0.4950767379837506,0.31033727747143425,0.3101594456824715,0.30803719391050166
Czechia,2020-03-23,2.9040018589308385,3.067918938097548,4.480967082862215,33.41577359709064,153.33250372805108,0.19798856450573302,1.0,0.4785074974418398,1.2063393862234202,0.7603175074310758,1.9739585291847592,1.0,6.026645949180642,4.847335049664899,5.936383374770438,1.0,1.2149547976877078,0.20987910125193082,0.9660365706849137,1.4737754423725378,0.3341058998319566,0.5128550350458831,0.34174938664822163,0.27617378479295035,0.2728265621330783
Denmark,2020-03-16,2.9040018589308385,3.067918938097548,4.480967082862215,33.41577359709064,153.33250372805108,0.19798856450573302,1.0,0.4785074974418398,1.2063393862234202,0.7603175074310758,1.9739585291847592,1.0,5.7856591957077645,5.922769506431912,6.144007566361153,1.0,1.2157518640600178,0.21125720405944431,0.9706024201568323,1.3448901614815114,0.37025163567131997,0.5914308968850125,0.3216765832119207,0.27869591516652986,0.2726930872508067
Finland,2020-03-22,2.9040018589308385,3.067918938097548,4.480967082862215,33.41577359709064,153.33250372805108,0.19798856450573302,1.0,0.4785074974418398,1.2063393862234202,0.7603175074310758,1.9739585291847592,1.0,5.695704522869728,4.638149765476081,7.234698023589169,1.0,1.2152736145510108,0.2096929877481706,1.141545250335618,1.2975516402717453,0.3413797995548207,0.5340029901922844,0.32193824637806995,0.35922218873400463,0.3568102700699722
France,2020-02-15,2.9040018589308385,3.067918938097548,4.480967082862215,33.41577359709064,153.33250372805108,0.19798856450573302,1.0,0.4785074974418398,1.2063393862234202,0.7603175074310758,1.9739585291847592,1.0,5.669074620444954,5.184532978937157,5.982235533963972,1.0,1.214548191625587,0.21005069471148757,0.9846738444411917,1.0388547541797513,0.34738651627579487,0.4921426179070213,0.31092329273906977,0.3393324648338341,0.37911769041091675
Germany,2020-03-10,2.9040018589308385,3.067918938097548,4.480967082862215,33.41577359709064,153.33250372805108,0.19798856450573302,1.0,0.4785074974418398,1.2063393862234202,0.7603175074310758,1.9739585291847592,1.0,5.610166029275432,4.62121051675308,7.040401669763658,1.0,1.2150633470785388,0.21038917563389184,0.9823709176536501,1.071734980387091,0.36522038228570947,0.6055182587355737,0.32686667375373013,0.28035910174809736,0.26463841230188606
Greece,2020-03-12,2.9040018589308385,3.067918938097548,4.480967082862215,33.41577359709064,153.33250372805108,0.19798856450573302,1.0,0.4785074974418398,1.2063393862234202,0.7603175074310758,1.9739585291847592,1.0,5.808929809880329,4.628916050488801,5.919700361836026,1.0,1.2140616242788325,0.22583140912757646,0.988867919661236,1.3343267635781408,0.2522595711401887,0.5283094659577254,0.40805581534154056,0.3975894569453895,0.2750910811271598
Hungary,2020-03-16,2.9040018589308385,3.067918938097548,4.480967082862215,33.41577359709064,153.33250372805108,0.19798856450573302,1.0,0.4785074974418398,1.2063393862234202,0.7603175074310758,1.9739585291847592,1.0,5.600506601328128,5.037389370196259,6.499022806662908,1.0,1.2157734037210601,0.21306669920025728,1.1736695509066246,1.4279198711439731,0.3180629270358441,0.5041704400315555,0.3228625468926765,0.3929428460448648,0.3564057755311741
Italy,2020-02-23,2.9040018589308385,3.067918938097548,4.480967082862215,33.41577359709064,153.33250372805108,0.19798856450573302,1.0,0.4785074974418398,1.2063393862234202,0.7603175074310758,1.9739585291847592,1.0,5.858357415022628,6.109490944946755,6.031532280558596,1.0,1.2168562975500108,0.21528260819208925,1.1367717065686362,1.4977533092359159,0.26777834593133004,0.5219992005268979,0.3988108034474576,0.3518944970751586,0.2559210627458005
