_key,0-9,10-19,20-29,30-39,40-49,50-59,60-69,70-79,80+
Suriname,104833,102229,95774,82789,72724,64826,36928,18682,7847
Sweden,1193952,1127126,1276929,1320296,1264123,1296645,1093869,994243,532082
Switzerland,884945,834866,1039727,1219227,1166590,1320623,977436,751994,459214
Syrian Arab Republic,3635906,3325125,3099981,2907195,1928900,1285347,822366,355547,140291
Taiwan Province of China,2052885,2188808,3120353,3548586,3787845,3659220,3101016,1488802,869260
Tajikistan,2577608,1788370,1648520,1390332,882400,700892,387890,117606,44027
Thailand,7439833,8492312,9630311,9229726,10914254,10681391,7624358,3866567,1921226
The former Yugoslav Republic of Macedonia,227550,233451,282982,325975,299904,282831,244647,133880,52154
Timor-Leste,331877,306717,244908,159027,100789,88473,50144,28916,7594
Togo,2340180,1914993,1375262,1064553,744517,450710,255935,111491,21083
Tonga,24640,23525,17138,12181,10289,8701,5304,2791,1126
Trinidad and Tobago,184450,185807,183001,242864,191443,175059,135895,73653,27316
Tunisia,2017758,1639937,1725345,1914066,1572474,1361507,962594,424105,200832
Turkey,13419270,13595150,13174164,12774732,11446581,8908423,6192391,3353577,1474778
Turkmenistan,1332932,1008742,1009792,957887,697821,535461,334447,103460,50658
Uganda,14855951,11449426,7872675,5101102,3133402,1852437,974327,411999,89688
Ukraine,4589511,4383518,4898491,7208959,6406401,5906740,5539857,2983432,1816853
United Arab Emirates,1011712,842993,2149345,3169316,1608106,797911,242705,55883,12431
United Kingdom of Great Britain and Northern Ireland,8044056,7642475,8558707,9295025,8604251,9173467,7286778,5830636,3450616
United Republic of Tanzania,18362315,14089046,9846249,7161926,4820729,2926636,1622801,741234,163282
United States Virgin Islands,12866,14018,12732,9733,11766,14450,14020,10901,3939
United States of America,39721484,42332393,46094077,44668271,40348398,42120077,38488173,24082598,13147180
Uruguay,473071,478929,511559,461146,455021,391074,327921,220267,154741
Uzbekistan,6713724,5460857,5946988,5577195,3930502,3068759,1939630,572151,259397
Vanuatu,80884,66925,50769,41001,29192,20541,11438,4837,1558
Venezuela (Bolivarian Republic of),5094601,5158570,4130338,4027919,3564976,3014982,2042554,989858,412141
Viet Nam,15478572,13599041,15389495,16200926,13572964,11109965,7342685,2778470,1866461
Western Sahara,112592,98369,104987,108717,82796,51955,28373,7614,1936
Yemen,8033406,6750274,5732747,4140438,2362805,1422834,879448,403471,100540
Zambia,5663541,4550182,3180383,2185196,1413887,761262,403835,179963,45706
Zimbabwe,4308157,3559952,2482990,1867477,1257821,698090,425415,200359,62663
